,name,tag,stars,created,forks,releases,commits,contributors,pushed,crawl_last_updated
46,matanolabs/matano,secumon,1114,2022-07-03 13-41-35,57,1,561,10,2023-07-19 12-20-04,2023-07-20 05-48-33
47,mattifestation/CimSweep,secumon,625,2016-01-30 04-58-19,163,6,129,5,2019-08-19 12-50-44,2023-07-20 03-42-37
48,MHaggis/sysmon-dfir,secumon,832,2017-01-11 07-09-03,187,0,63,2,2023-03-20 18-55-13,2023-07-19 21-39-59
49,MISP/MISP,secumon,4522,2013-02-07 17-10-34,1292,95,24219,204,2023-07-19 10-28-16,2023-07-19 12-35-55
50,mitre-attack/bzar,secumon,455,2019-05-16 19-47-16,63,0,18,4,2023-05-26 15-35-40,2023-08-04 02-15-14
51,mozilla/mig,secumon,1197,2013-09-10 04-04-40,251,0,2069,27,2019-09-13 23-40-11,2023-07-06 02-43-06
52,Neo23x0/Loki,secumon,2946,2015-01-18 08-39-49,556,70,1214,33,2023-07-01 17-33-55,2023-07-19 23-48-24
53,Neo23x0/signature-base,secumon,2033,2016-02-15 09-16-52,553,2,2336,42,2023-07-18 12-44-06,2023-07-19 12-35-58
54,Neo23x0/sysmon-config,secumon,378,2021-07-24 06-19-41,52,1,377,28,2023-07-27 12-52-45,2023-08-08 03-04-19
55,Netflix/dispatch,secumon,4018,2020-02-10 17-21-28,419,46,3049,65,2023-07-06 18-33-43,2023-07-06 20-56-19
56,NeuromorphicComputationResearchProgram/AutoYara,secumon,47,2020-09-05 02-42-34,7,1,3,0,2021-05-03 21-39-43,2023-07-06 09-43-36
57,ntop/ntopng,secumon,5412,2015-04-30 10-07-16,620,14,20147,106,2023-07-21 09-15-54,2023-07-21 12-19-55
58,OISF/suricata,secumon,3326,2012-08-14 08-30-06,1259,62,14896,171,2023-07-19 08-52-23,2023-07-19 11-32-25
59,olafhartong/sysmon-modular,secumon,2263,2018-01-13 21-20-59,511,0,889,40,2023-07-14 23-31-18,2023-07-20 04-43-52
60,olafhartong/ThreatHunting,secumon,1060,2018-11-13 10-11-17,174,0,362,12,2023-04-07 18-24-39,2023-07-20 07-50-35
61,onotelli/justniffer,secumon,152,2012-05-12 16-56-27,61,2,191,1,2023-01-25 11-14-56,2023-07-20 11-53-06
62,OpenCTI-Platform/opencti,secumon,3760,2018-12-17 22-57-34,698,112,4093,57,2023-07-06 14-03-16,2023-07-06 16-40-45
63,osquery/osquery,secumon,20468,2014-07-29 20-27-33,2444,125,6333,377,2023-07-18 18-33-02,2023-07-19 12-38-45
64,ossec/ossec-hids,secumon,4032,2013-09-17 17-07-58,1006,29,5852,133,2023-06-01 01-38-37,2023-07-19 20-46-57
65,P4T12ICK/ypsilon,secumon,153,2018-04-30 09-26-11,19,0,25,1,2018-05-01 18-28-15,2023-07-20 05-47-32
66,palantir/osquery-configuration,secumon,761,2017-11-08 20-26-19,119,0,31,2,2022-07-20 09-51-44,2023-07-19 12-43-47
67,Qianlitp/WatchAD,secumon,1223,2019-10-24 09-46-33,294,0,30,2,2023-03-31 14-42-00,2023-08-05 19-40-10
68,quadrantsec/sagan,secumon,103,2021-01-05 17-39-23,18,3,242,6,2023-06-28 23-12-18,2023-07-20 05-50-22
69,rabbitstack/fibratus,secumon,1900,2016-03-25 11-28-46,181,20,799,5,2023-08-05 12-57-11,2023-08-05 16-38-14
70,sans-blue-team/DeepBlueCLI,secumon,1851,2016-09-20 16-06-06,312,0,201,7,2023-06-28 20-33-56,2023-07-19 22-46-54
71,sbilly/awesome-security,secumon,10020,2014-08-22 00-54-48,1699,0,476,134,2023-05-07 16-53-46,2023-07-19 11-35-31
72,Security-Onion-Solutions/securityonion,secumon,2071,2018-02-05 17-30-31,380,78,10958,27,2023-07-18 23-07-58,2023-07-19 12-38-50
73,shadawck/awesome-endpoint-detection-and-response,secumon,35,2020-03-12 10-02-52,10,0,6,1,2021-03-06 18-12-39,2023-07-19 12-45-55
74,SigmaHQ/sigma,secumon,6565,2016-12-24 09-48-49,1885,12,15639,341,2023-07-19 12-25-51,2023-07-19 19-35-34
75,simsong/tcpflow,secumon,1581,2012-04-01 00-44-11,230,2,790,40,2023-04-15 11-36-51,2023-07-06 04-53-39
76,snort3/snort3,secumon,1882,2014-12-11 14-28-09,452,56,5649,26,2023-08-02 01-51-07,2023-08-05 12-17-53
77,splunk/security_content,secumon,917,2018-12-18 21-14-15,282,112,21900,56,2023-08-02 23-49-20,2023-08-03 08-00-18
78,stamparm/maltrail,secumon,5244,2014-12-04 21-33-46,968,48,90981,39,2023-07-20 20-07-11,2023-07-20 22-50-56
79,SwiftOnSecurity/sysmon-config,secumon,4168,2017-02-01 18-49-36,1600,0,173,17,2023-07-05 16-17-42,2023-07-05 22-30-44
80,tenzir/threatbus,secumon,242,2019-01-31 09-33-49,13,27,857,9,2023-03-17 13-44-28,2023-07-19 12-36-38
81,teoseller/osquery-attck,secumon,715,2018-07-31 07-17-32,154,0,105,2,2023-05-11 23-41-53,2023-07-19 12-41-04
82,TheHive-Project/Cortex,secumon,1102,2017-01-10 10-52-57,191,29,681,12,2022-12-01 09-26-49,2023-07-06 01-31-54
83,TheHive-Project/Hippocampe,secumon,160,2016-11-04 08-29-51,45,1,67,7,2020-07-13 13-13-07,2023-07-05 22-35-05
84,TheHive-Project/TheHive,secumon,2978,2016-11-03 16-58-39,565,85,2751,15,2022-12-05 09-47-50,2023-07-19 20-47-53
85,USArmyResearchLab/Dshell,secumon,5412,2014-12-17 12-04-51,1160,3,245,18,2023-06-01 15-53-45,2023-08-05 16-15-38
86,Velocidex/velociraptor,secumon,1965,2018-03-24 07-39-32,352,52,2039,72,2023-07-06 11-18-38,2023-07-06 17-55-48
87,wazuh/wazuh,secumon,6272,2015-08-11 17-39-03,1075,92,28764,231,2023-07-19 18-33-50,2023-07-19 20-46-12
88,wecooperate/iMonitor,secumon,566,2021-11-24 11-27-47,139,16,50,1,2023-08-06 10-52-21,2023-08-12 07-49-06
89,wecooperate/iMonitorSDK,secumon,280,2021-09-25 05-31-27,67,5,57,1,2023-07-31 13-16-01,2023-08-01 22-53-30
90,yarox24/attack_monitor,secumon,218,2019-04-03 18-33-49,60,1,9,1,2019-12-20 18-52-35,2023-07-31 11-56-15
91,Yelp/elastalert,secumon,7914,2014-11-24 19-39-19,1775,1,2082,181,2023-04-07 08-23-10,2023-07-09 11-20-47
